"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",11.49603,3.03788,3.53826,4.31505,2.18182,1.92487,1.3625,0.47823,0.430407
"10-19",3.63456,19.86036,3.32289,3.18283,3.39609,1.30941,0.72999,0.41414,0.430407
"20-29",2.14003,3.67852,10.21023,4.98479,3.7816,2.74021,0.73729,0.30472,0.372726
"30-39",3.0875,2.64109,4.19828,7.05566,4.75661,2.86553,1.37615,0.38973,0.274248
"40-49",1.28756,2.94503,3.21389,4.60898,5.1913,2.59031,0.93346,0.40867,0.350757
"50-59",1.7276,1.7118,3.91383,3.7361,3.88532,3.50566,1.12824,0.31249,0.367803
"60-69",1.84087,1.16838,1.90691,3.27553,2.22334,1.92153,1.4353,0.50889,0.281241
"70-79",0.93696,1.45386,0.67889,1.37879,1.76786,0.90237,0.89175,0.63591,0.6482005
"80+",0.843264,0.843264,1.308474,0.611001,1.240911,1.591074,0.812133,1.2945345,1.178005
