"","x"
"1",0.195344139282119
"2",0.175508412005054
"3",0.170994992470749
"4",0.171228280375102
"5",0.118756205878093
"6",0.0828130245331671
"7",0.0533554357717225
"8",0.0248876682320921
"9",0.0071118414519019
"10",59308690
