"","x"
"1",0.136794273830522
"2",0.14659640872449
"3",0.160447581033686
"4",0.16219823983421
"5",0.138605983798158
"6",0.114891183198576
"7",0.0794924208694991
"8",0.041407487165153
"9",0.0195664215457054
"10",212559409
