"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",12.72305,2.34119,1.83248,3.24455,1.68802,1.08509,0.76841,0.31422,0.282798
"10-19",3.33326,24.18786,2.26629,2.02775,2.68485,0.90853,0.41563,0.25116,0.282798
"20-29",1.5389,3.14208,10.30542,5.77381,4.44632,2.78188,0.66233,0.2169,0.226044
"30-39",3.93873,2.56489,5.59538,10.16611,6.71224,3.54443,1.29582,0.37023,0.19521
"40-49",2.54748,4.18831,4.75093,6.98497,8.62597,3.80381,1.11562,0.47269,0.333207
"50-59",3.42263,3.53334,5.74672,5.87857,6.51796,6.013,1.76803,0.53703,0.425421
"60-69",4.24931,2.72033,3.11606,4.69417,3.57338,3.20283,2.90852,0.89124,0.483327
"70-79",1.97134,2.27629,0.92825,1.63128,1.9028,1.29199,1.49163,1.21943,1.0150625
"80+",1.774206,1.774206,2.048661,0.835425,1.468152,1.71252,1.162791,2.0902945,1.941917
