"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",14.56727,2.01149,1.63116,4.02037,1.10199,1.09216,0.55748,0.25913,0.233217
"10-19",2.54925,31.40963,2.55378,2.2663,3.55047,0.70736,0.5547,0.14845,0.233217
"20-29",1.14037,3.1709,11.20401,4.74388,4.35582,2.27209,0.27133,0.28364,0.133605
"30-39",2.59598,1.34282,3.04664,10.48306,5.09779,2.29157,0.55417,0.35134,0.255276
"40-49",0.47229,2.53502,3.59686,5.93089,9.50042,2.7665,0.46904,0.25111,0.316206
"50-59",0.90318,0.8983,4.86886,5.93492,7.16185,8.33384,1.75818,0.67398,0.225999
"60-69",0.30368,0.2031,1.25911,2.96534,2.91163,1.93531,5.29254,1.6602,0.606582
"70-79",0.1782,0.46811,0.37405,0.96841,1.22787,1.30302,2.05583,2.76723,1.771539
"80+",0.16038,0.16038,0.421299,0.336645,0.871569,1.105083,1.172718,2.290723,3.113462
