"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",12.72421,2.64426,2.19091,3.40933,1.88982,1.29878,0.90875,0.36861,0.331749
"10-19",3.68179,23.72782,3.01389,2.59102,3.15017,1.15513,0.53945,0.31699,0.331749
"20-29",1.96387,3.96997,11.43524,6.03433,4.53068,2.85616,0.69858,0.2772,0.285291
"30-39",4.00157,2.94612,5.2984,9.11764,6.09692,3.262,1.28732,0.39203,0.24948
"40-49",2.58626,4.04856,4.25233,6.16119,7.15438,3.23869,1.00757,0.44392,0.352827
"50-59",2.85718,3.00106,4.47693,4.70812,5.10804,4.44875,1.35217,0.40656,0.399528
"60-69",3.38305,2.20982,2.425,3.6199,2.71516,2.42811,2.00392,0.6704,0.365904
"70-79",1.7612,2.05928,0.80803,1.44666,1.72633,1.13909,1.24689,0.96504,0.799096
"80+",1.58508,1.58508,1.853352,0.727227,1.301994,1.553697,1.025181,1.7819795,1.6288255
