"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",13.51127,4.44215,3.60531,5.24951,3.13703,2.45936,1.81746,0.74603,0.671427
"10-19",4.95947,23.42028,4.5438,3.76959,3.99311,1.71981,0.95202,0.53586,0.671427
"20-29",2.22098,4.18803,11.55721,6.73538,4.8189,3.11596,1.03742,0.29144,0.482274
"30-39",3.27069,2.67765,5.27433,8.37959,6.328,3.57329,1.33102,0.28332,0.262296
"40-49",1.93511,3.02181,3.90118,6.11297,6.70653,3.64076,1.12163,0.25412,0.254988
"50-59",2.30893,2.48778,3.58326,4.74736,5.66257,4.6193,1.27643,0.18744,0.228708
"60-69",2.49152,1.90754,2.38885,3.17037,3.19258,3.0084,1.40551,0.27768,0.168696
"70-79",1.46888,2.18982,0.44641,0.61732,0.69163,0.61368,0.5806,0.36334,0.429892
"80+",1.321992,1.321992,1.970838,0.401769,0.555588,0.622467,0.552312,0.955431,0.890383
