"","x"
"1",0.0905679960058846
"2",0.101296096273188
"3",0.0987620667601002
"4",0.126232924661419
"5",0.169790093988887
"6",0.15070815321718
"7",0.11422690166266
"8",0.0858801119876869
"9",0.062535655442995
"10",46754783
