"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",14.48336,2.93971,2.54062,3.46484,1.30257,1.22608,0.60323,0.21439,0.192951
"10-19",2.19777,35.20734,2.43794,2.43828,2.36956,0.70131,0.36655,0.22157,0.192951
"20-29",0.74188,3.98902,16.5065,6.35004,4.47153,3.41404,0.51856,0.20883,0.199413
"30-39",1.86462,1.9575,6.34178,11.38344,5.69386,3.10302,1.04194,0.37689,0.187947
"40-49",0.34707,2.52431,6.42313,7.2933,9.75043,3.05993,0.79329,0.46028,0.339201
"50-59",0.85347,1.33351,5.99596,6.10555,6.24415,7.87876,1.30411,0.56767,0.414252
"60-69",0.70101,1.14631,2.78049,4.3503,3.16835,2.66123,4.32529,0.68795,0.510903
"70-79",0.59077,1.58293,1.42974,2.33839,3.3694,2.39067,1.54684,5.69551,0.801151
"80+",0.531693,0.531693,1.424637,1.286766,2.104551,3.03246,2.151603,2.1614735,6.4233445
