"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",8.77269,3.58744,3.08232,3.98641,2.47086,1.94218,1.43873,0.54835,0.493515
"10-19",3.98324,23.1349,3.16027,2.56847,2.86523,1.21565,0.72575,0.41451,0.493515
"20-29",1.88358,3.6142,9.70961,5.44931,3.99438,2.46618,0.61592,0.29255,0.373059
"30-39",2.63176,1.94509,4.74609,8.18291,5.91561,3.23166,1.21344,0.39968,0.263295
"40-49",1.51334,2.16187,3.31529,5.47052,6.13586,2.94799,0.81215,0.36805,0.359712
"50-59",1.6484,1.65207,3.03117,3.90565,4.42941,3.38305,0.89832,0.27797,0.331245
"60-69",1.90928,1.24809,1.3986,2.2211,1.7525,1.42486,1.18091,0.43081,0.250173
"70-79",1.07423,1.29992,0.54584,0.89822,1.12998,0.69588,0.74782,0.5684,0.573283
"80+",0.966807,0.966807,1.169928,0.491256,0.808398,1.016982,0.626292,1.083735,1.046788
