"","x"
"1",0.170189049073203
"2",0.182754142480497
"3",0.173841529496299
"4",0.156257674500071
"5",0.122941764420553
"6",0.0928491469974568
"7",0.0631525609246524
"8",0.0283878793617022
"9",0.00962625274556646
"10",1380004385
