,0-9,Oct-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0-9,0.57986006,0.223790246,0.13244517,0.226242632,0.111768781,0.089477829,0.145353397,0.051833975,0.016457819
Oct-19,0.425119101,0.790626081,0.304701798,0.196863906,0.332694996,0.140398236,0.124538894,0.156693904,0.047228319
20-29,0.330829382,0.400657705,0.744080528,0.313054483,0.20010266,0.288869934,0.135072256,0.092799761,0.09868588
30-39,0.611886855,0.280280776,0.338960162,0.687212749,0.286044136,0.156183551,0.249823451,0.090476203,0.052538314
40-49,0.330829382,0.518394471,0.237120155,0.313054483,0.627920019,0.223262344,0.135072256,0.167340636,0.051222838
50-59,0.339325554,0.280280776,0.438566567,0.218997794,0.286044136,0.490102322,0.193084024,0.090476203,0.094739413
60-69,0.637375626,0.287478787,0.237120155,0.405048278,0.20010266,0.223262344,0.423855304,0.129334549,0.051222838
70-79,0.339325554,0.539988721,0.24320974,0.218997794,0.370100704,0.156183551,0.193084024,0.283913363,0.073222378
80+,0.190302753,0.287478787,0.456835504,0.22462197,0.20010266,0.288869934,0.135072256,0.129334549,0.160736722
